movie_id,user_id,rating,name,year,runtime(min),imdb_rating,meta_score,genre
tt0167261,Loving_Silence,10,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt0167261,classicsoncall,10,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt0167261,auuwws,10,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt0167261,tfrizzell,,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt0167261,Boba_Fett1138,10,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt0167261,MrHeraclius,,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt0167261,TheLittleSongbird,10,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt0167261,grendelkhan,,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt0167261,rc_whittle,10,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt0167261,EVON1TY,10,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt15097216,santhosh-10290,10,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt15097216,ahamedmn,10,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt15097216,magadalwarmayur,7,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt15097216,cs_rahul_kumar,10,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt15097216,rosheenkan,10,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt15097216,ashishpalatown,10,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt15097216,m-ramanan,10,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt15097216,classicsoncall,8,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt15097216,ajaynkumar,10,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt15097216,akshatmahajan,8,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt0816692,kosmasp,10,Interstellar,2014,169,8.7,74,"Adventure, Drama, Sci-Fi"
tt0816692,Jared_Andrews,10,Interstellar,2014,169,8.7,74,"Adventure, Drama, Sci-Fi"
tt0816692,aheaven2005,10,Interstellar,2014,169,8.7,74,"Adventure, Drama, Sci-Fi"
tt0816692,e-jackson1985,10,Interstellar,2014,169,8.7,74,"Adventure, Drama, Sci-Fi"
tt0816692,theoledoux,10,Interstellar,2014,169,8.7,74,"Adventure, Drama, Sci-Fi"
